"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2023","67.56","68.00","68.50","67.00","0.27K","1.05%"
"12/12/2023","66.85","66.59","67.31","66.15","0.53K","1.06%"
"12/11/2023","66.15","66.77","67.26","65.00","3.18K","-1.85%"
"12/08/2023","67.40","68.19","68.19","68.19","0.08K","-1.38%"
"12/07/2023","68.34","67.32","69.00","67.32","2.77K","0.76%"
"12/06/2023","67.82","68.02","68.58","67.45","1.44K","0.78%"
"12/05/2023","67.30","69.29","69.29","67.04","1.63K","-2.59%"
"12/04/2023","69.09","71.40","71.40","69.30","0.58K","-2.88%"
"12/01/2023","71.14","70.21","71.55","69.92","0.27K","2.42%"
"11/30/2023","69.46","70.36","70.51","69.34","0.48K","0.00%"
"11/29/2023","69.46","71.19","71.39","69.58","1.07K","-2.72%"
"11/28/2023","71.40","71.34","71.89","70.72","1.45K","-0.13%"
"11/27/2023","71.49","73.00","73.00","72.00","1.45K","-4.72%"
"11/24/2023","75.03","74.85","75.01","74.85","2.51K","-0.11%"
"11/23/2023","75.11","73.80","74.13","73.80","0.51K","2.20%"
"11/22/2023","73.50","73.80","74.07","73.55","0.35K","-0.71%"
"11/21/2023","74.02","74.40","74.64","74.00","0.47K","-1.44%"
"11/20/2023","75.10","75.68","75.96","75.68","0.03K","0.58%"
"11/17/2023","74.67","75.00","75.72","75.00","6.86K","-0.91%"
"11/16/2023","75.36","77.50","77.70","75.44","5.35K","-3.47%"
"11/15/2023","78.07","76.86","77.55","76.86","1.03K","1.57%"
"11/14/2023","76.86","75.67","75.67","75.33","0.03K","1.76%"
"11/13/2023","75.53","76.96","77.27","74.75","1.32K","-1.73%"
"11/10/2023","76.86","76.00","77.22","75.19","0.86K","1.29%"
"11/09/2023","75.88","74.66","74.66","73.68","0.66K","2.70%"
"11/08/2023","73.89","73.83","74.81","73.83","0.12K","0.21%"
"11/07/2023","73.73","74.00","74.25","73.09","0.50K","-0.70%"
"11/06/2023","74.25","75.64","75.64","74.20","1.40K","-1.88%"
"11/03/2023","75.67","76.75","76.75","75.95","0.06K","-1.96%"
"11/02/2023","77.18","76.00","76.00","75.00","0.18K","0.63%"
"11/01/2023","76.69","77.00","77.50","76.60","0.17K","-0.64%"
