Open,Close,High,Low,Volume,Date
125,125.5,125.75,124.9,,07/08/21
124.25,124.65,124.25,124.25,,07/07/21
0,123.8,0,0,,07/06/21
0,127.25,0,0,,07/05/21
122,123.6,122.75,122,,07/02/21
124,122.25,124,123.75,,07/01/21
115,120.75,121,115,,06/30/21
113,115.05,115.65,112.9,,06/29/21
113.25,113.15,113.25,113.25,,06/28/21
0,115.5,0,0,,06/25/21
0,108.25,0,0,,06/24/21
0,108,0,0,,06/23/21
0,107.25,0,0,,06/22/21
0,107,0,0,,06/21/21
0,107.75,0,0,,06/18/21
0,107.8,0,0,,06/17/21
108,108,108,108,,06/16/21
108.5,108,108.5,108.5,,06/15/21
109,109,109,109,,06/14/21
0,110,0,0,,06/11/21
109,110,109,109,,06/10/21
106.25,108.25,108,106.25,,06/09/21
0,105.75,0,0,,06/08/21
104.5,106,106.1,104.5,,06/07/21
100.65,101.25,101.5,100.65,,06/04/21
97.75,100.5,101,97.75,,06/03/21
95.5,96.4,96.5,95.5,,06/02/21
96,95.8,96.5,95.85,,06/01/21
0,85.75,0,0,,05/28/21
0,85.75,0,0,,05/27/21
0,85.65,0,0,,05/26/21
0,85.75,0,0,,05/25/21
0,85.5,0,0,,05/24/21
0,85.2,0,0,,05/21/21
84.5,84.75,84.5,84.5,,05/20/21
0,84,0,0,,05/19/21
84.5,84.6,84.5,84.5,,05/18/21
0,84.5,0,0,,05/17/21
85,85.4,85,84.9,,05/14/21
85.25,85.7,85.25,85.25,,05/13/21
0,85.85,0,0,,05/12/21
84,84.8,84,84,,05/11/21
84.45,83.8,84.45,83.75,,05/10/21
81.3,82.5,81.3,81.3,,05/07/21
0,81.55,0,0,,05/06/21
78.6,80.05,79.25,78.6,,05/05/21
78.5,78.5,78.6,78.4,,05/04/21
78.75,78.65,78.75,78.7,,05/03/21
0,77.45,0,0,,04/30/21
0,71.9,0,0,,04/29/21
0,71.75,0,0,,04/28/21
73.9,71.85,73.9,73.9,,04/27/21
0,71.7,0,0,,04/26/21
0,71.8,0,0,,04/23/21
72,71.8,72,72,,04/22/21
0,71.5,0,0,,04/21/21
0,71.5,0,0,,04/20/21
0,71.5,0,0,,04/19/21
71,71.6,71,71,,04/16/21
70,70.2,70,70,,04/15/21
0,69.15,0,0,,04/14/21
0,68.85,0,0,,04/13/21
0,68.35,0,0,,04/12/21
67.5,67.55,67.5,67.5,,04/09/21
67.5,67.2,67.5,67.5,,04/08/21
0,68.8,0,0,,04/07/21
70.3,70.3,70.3,70.3,,04/06/21
0,70.2,0,0,,04/05/21
0,70.2,0,0,,04/01/21
69.95,70.05,70.1,69.75,,03/31/21
70.45,70,70.45,69.8,,03/30/21
0,70.6,0,0,,03/29/21
0,70.9,0,0,,03/26/21
0,68.5,0,0,,03/25/21
0,68.5,0,0,,03/24/21
0,68.5,0,0,,03/23/21
0,68.5,0,0,,03/22/21
68.5,68.45,68.5,68.5,,03/19/21
0,68.1,0,0,,03/18/21
66.5,67.55,66.5,66.5,,03/17/21
66.4,66.3,66.5,66.4,,03/16/21
66,66.35,66.35,66,,03/15/21
65.85,66.05,66,65.85,,03/12/21
65.8,65.8,65.8,65.8,,03/11/21
66,65.8,66.25,66,,03/10/21
65.4,66,66,65.4,,03/09/21
65.5,65.5,65.5,65.5,,03/08/21
65.5,65.25,65.5,65.25,,03/05/21
66,65.2,66,65.7,,03/04/21
65.9,65.7,66.15,65.9,,03/03/21
65.7,66.15,66.3,65.7,,03/02/21
65.95,65.4,65.95,65.5,,03/01/21
0,65.25,0,0,,02/26/21
65.85,65.8,65.85,65.85,,02/25/21
65,65.7,65.7,65,,02/24/21
0,65.9,0,0,,02/23/21
66,65.95,66,66,,02/22/21
66,65.95,66,66,,02/19/21
0,65.55,0,0,,02/18/21
65.25,65.35,65.35,65.25,,02/17/21
65.25,65.6,65.5,65.2,,02/16/21
66.25,65.3,66.25,65.2,,02/15/21
67.25,67,67.45,67.2,,02/12/21
67.5,67.35,67.8,66.9,,02/11/21
68.15,68,68.5,68,,02/10/21
68.1,68.6,68.65,68.1,,02/09/21
67,68.25,68.25,67,,02/08/21
65.5,66.45,66.5,65.5,,02/05/21
64,65,64.9,64,,02/04/21
63.6,63.75,63.8,63.3,,02/03/21
65.7,65.4,66.5,63.5,,02/02/21
68,65.6,68,65.25,,02/01/21
0,69.4,0,0,,01/29/21
67.6,67.8,67.8,67.6,,01/28/21
